Yeretuar	gop	ˈmaɛ; 	tree kangaroo; 	misc.	SV \citeyear[263]{SmitsVoorhoeve1992b}
		buka	kangaroo	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b}
Moor	mhz	ˈwana(ra);	(tree) kangaroo;	*wakin	SV \citeyear[241]{SmitsVoorhoeve1992b}, 263
		ˈwusi	(tree) kangaroo	**musi	SV \citeyear[241]{SmitsVoorhoeve1992b}, 263
Ansus	and	(kapa) musi;	tree kangaroo;	**musi	\cite{PriceDonohue2009}
		amo	wallaby	**amoR	\cite{PriceDonohue2009}
Ambai	amk	mansa(ŋ);	Grizzled Tree Kangaroo, Dendrolagus inustus	**mantəR;	\cite{Price2002}
		amo	Brown Wallaby, Dorcopsis veterum	**amoR	\cite{Price2002}
Wandamen	wad	musi;	(tree) kangaroo	**musi	SV \citeyear[241]{SmitsVoorhoeve1992b}, 263
		amor	(tree) kangaroo	**amoR	SV \citeyear[241]{SmitsVoorhoeve1992b}, 263
Serui-Laut	seu	awondo;	tree kangaroo;	misc.	SV \citeyear[263]{SmitsVoorhoeve1992b}
		aˈmo	kangaroo	**amoR	SV \citeyear[241]{SmitsVoorhoeve1992b}
Tandia	tni	dɔβiɛβiːβi	kangaroo	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b}
Matbat	xmt	ibem	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Roon	rnn	rɔbrɔbuɔ	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Meoswar	mvx	musiɛw	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Yaur	jau	regrɛ	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Yeretuar	gop	uasi	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Moor	mhz	wabum(a)/wawuma	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Ansus	and	lura	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Wandamen	wad	yemok;	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
		(aniai) bekatar;	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
		repor;	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
		wenawawo;	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
		aniai (kakopa)	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Serui-Laut	seu	ainai	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Waropen	wrp	iran bouwa	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Bantik	bnq	kusey	cuscus	**kusay	\cite[89]{Sneddon1984}
Ratahan	rth	kusey	cuscus	**kusay	\cite[89]{Sneddon1984}
Sangir	sxn	kuse/kusai	cuscus	**kusay	\cite[89]{Sneddon1984}
Talaud	tld	usseʔa	cuscus	(**kusay)	\cite{BalaiBahasaSulawesiUtara2018}
Talaud, Tirrawatta	tld	uhheʔa	cuscus	(**kusay)	\cite{BalaiBahasaSulawesiUtara2018}
Tondano	tdn	kuse;	cuscus;	**kusay	\cite[151]{Sneddon1978}
		tembuŋ	small kind of cuscus	misc.	\cite[161,174]{Stokhof1983b}
Tontemboan	tnt	‹kusé›;	bear cuscus;	**kusay	\cite[151]{Sneddon1978}
		‹tĕmbuŋ/tĕbuŋ›	dwarf cuscus	misc.	\cite[205, 497, 502]{Schwarz1908}
Tombulu	tom	kuse	cuscus	**kusay	\cite[151]{Sneddon1978}
Tonsea	txs	kuse	cuscus	**kusay	\cite[151]{Sneddon1978}
Bolango	bld	ʔuse	bear cuscus	**kusay	\cite[322]{Usup1986}
Buol	blf	kute	bear cuscus	**kusay	\cite[322]{Usup1986}
Bintauna	bne	ʔuse	bear cuscus	**kusay	\cite[322]{Usup1986}
Gorontalo	gor	bubudu	cuscus	misc.	\cite[437]{Adriani1902}
Kaidipang	kzp	kuse	bear cuscus	**kusay	\cite[322]{Usup1986}
Lolak	llq	kuse	bear cuscus	**kusay	\cite[322]{Usup1986}
Mongondow	mog	kutoy	bear cuscus	**kusay	\cite[322]{Usup1986}
Ponosakan	pns	kusoy	bear cuscus	**kusay	\cite[322]{Usup1986}
Suwawa	swu	ʔute	bear cuscus	**kusay	\cite[322]{Usup1986}
Tajio	tdj	timpaus;	bear cuscus;	misc.	
		taŋali	dwarf cuscus	**taŋali	\multirow{-2}{=}{\raggedright \citet[147, footnote 3]{Nourse1998}}
Lauje	law	usé timpaus;	bear cuscus;	**kusay	Phil Quick (DM)
		taŋali	dwarf cuscus	**taŋali	
Pendau	ums	timpaus;	bear cuscus;	misc.	Tajio survey (DM)
		taŋali	dwarf cuscus	**taŋali	
Wolio	wlo	kuse	bear cuscus;	**kusay	\cite{Anceaux1987}
		toŋali	dwarf cuscus	**taŋali	
Wotu	wtw	kuse	cuscus	**kusay	\cite{Duri2017}
Tado-Lindu	klw	kuse;	bear cuscus;	**kusay	\cite{AdrianiEsser1939}
		taŋali	dwarf cuscus	**taŋali	
Da'a Kaili	kzf	baŋgusu	cuscus	misc.	Don Barr (DM)
Ledo Kaili	lew	kuse;	small cuscus;	**kusay	\cite{Evans2003}
		ŋguyu	cuscus	misc.	
Moma	myl	kuhe;	bear cuscus;	**kusay	\cite{AdrianiEsser1939}
		taŋali	dwarf cuscus	**taŋali	
Pamona	pmf	kuse;	bear cuscus;	**kusay	\cite{Adriani1928}
		taŋali	dwarf cuscus	**taŋali	
Uma	ppk	kuhe;	bear cuscus;	**kusay	Michael Martens (DM)
		taŋali	dwarf cuscus	**taŋali	
Sedoa	tvw	taŋali	dwarf cuscus	**taŋali	Michael Martens (DM)
Soboyo	tlv	geke	cuscus 	misc.	\cite[56]{Fortgens1921}, Edwards fieldnotes
Bobongko	bgb	kuseʔ	cuscus	**kusay	\cite[13]{Mead2018a}
Banggai	bgz	kuai;	cuscus;	(**kusay)	\cite[202]{SantosaSuyanto2018}
		buŋes	dwarf cuscus 	misc.	
Balantak	blz	kuse	cuscus	**kusay	\cite{BusenitzBradbury2016}
Saluan	loe	kuseʔ;	bear cuscus;	**kusay	\cite[117]{MeadPasanda2015}
		bolotok	dwarf cuscus	misc.	
Batui	zbt	kuseʔ	cuscus	**kusay	\cite[117]{MeadPasanda2015}
Bungku	bkz	kuhe	cuscus	**kusay	\cite[444]{Mead1998}
Tolaki	lbw	kuhe,	bear cuscus;	**kusay	\cite[444]{Mead1998};
		βeŋu;	dwarf cuscus;	misc.	Edwards fieldnotes
		puda	cuscus	misc.	Edwards fieldnotes
